zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,zmax
z<=22,mE,0.5,0.49272698629417633,0.065,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.25,-3.571219864368785,22.0
z<=22,mE,0.5,0.49457825044312376,0.075,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.75,-3.5260466600120144,22.0
z<=22,mE,0.5,0.49272698629417633,0.085,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.5,-3.5721076175336783,22.0
z<=22,mE,0.5,0.49272698629417633,0.095,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.75,-3.6887510688528646,22.0
z<=22,mE,0.5,0.49457825044312376,0.105,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.75,-3.9016052919077278,22.0
z<=22,mE,0.5,0.49640287769784175,0.115,700.0,0.09064748201438848,2.9784172661870505,1.5028014724114869,0.75,-4.069038537815644,22.0
z<=22,mE,0.5,0.49640287769784175,0.125,700.0,0.09064748201438848,2.9784172661870505,1.5028014724114869,0.75,-4.005445175339784,22.0
z<=22,mE,0.75,0.7428571428571429,0.045,700.0,0.04628571428571428,4.457142857142857,0.7673488334639877,0.25,-3.2965721670522257,22.0
z<=22,mE,0.75,0.7391304347826088,0.055,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.0,,22.0
z<=22,mE,0.75,0.7419321685508736,0.065,700.0,0.04645220966084274,4.451593011305242,0.7701090810663762,0.75,-3.328393283952897,22.0
z<=22,mE,0.75,0.7391304347826088,0.075,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.25,-3.2590878554006473,22.0
z<=22,mE,0.75,0.7391304347826088,0.085,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.5,-3.484295011503179,22.0
z<=22,mE,0.75,0.7410071942446044,0.095,700.0,0.04661870503597121,4.446043165467627,0.7728693286687646,0.25,-3.6806178937276255,22.0
z<=22,mE,0.75,0.7419321685508736,0.105,700.0,0.04645220966084274,4.451593011305242,0.7701090810663762,1.0,-3.7201327336126413,22.0
z<=22,mE,0.75,0.7372262773722628,0.115,700.0,0.0472992700729927,4.423357664233577,0.7841520925909365,1.0,-3.944054870003238,22.0
