zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,zmax
z<=10,mE,0.5,0.4909023590394584,0.095,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,0.5,91.5,33.93939393939394,10.0
z<=10,mE,0.5,0.48905109489051096,0.105,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,0.5,80.5,48.94927536231883,10.0
z<=10,mE,0.5,0.48905109489051096,0.115,700.0,0.09197080291970804,2.934306569343066,1.5247401800379323,0.75,76.0,38.04347826086956,10.0
z<=10,mE,0.5,0.4909023590394584,0.125,700.0,0.09163757537289749,2.9454141542367505,1.5192157590957658,1.0,75.0,27.543478260869563,10.0
z<=10,mE,0.75,0.708029197080292,0.045,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.0,,,10.0
z<=10,mE,0.75,0.708029197080292,0.055,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.0,,,10.0
z<=10,mE,0.75,0.708029197080292,0.065,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.0,,,10.0
z<=10,mE,0.75,0.708029197080292,0.075,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.5,83.5,42.34782608695651,10.0
z<=10,mE,0.75,0.708029197080292,0.085,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.5,85.0,57.31884057971014,10.0
z<=10,mE,0.75,0.708029197080292,0.095,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,0.75,93.0,62.028985507246375,10.0
z<=10,mE,0.75,0.708029197080292,0.105,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,1.0,83.5,38.55072463768116,10.0
z<=10,mE,0.75,0.708029197080292,0.115,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,1.0,62.5,39.48067632850241,10.0
z<=10,mE,0.75,0.708029197080292,0.125,700.0,0.05255474452554744,4.248175182481752,0.8712801028788183,1.0,77.5,32.17391304347825,10.0
z<=12,mE,0.25,0.249087686372641,0.045,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.0,,,12.0
z<=12,mE,0.25,0.2517985611510791,0.055,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.25,55.0,92.82608695652173,12.0
z<=12,mE,0.25,0.249087686372641,0.065,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.25,43.0,40.57971014492754,12.0
z<=12,mE,0.25,0.25175983436853006,0.075,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.0,,,12.0
z<=12,mE,0.25,0.249087686372641,0.085,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.5,52.0,35.380434782608695,12.0
z<=12,mE,0.25,0.2517985611510791,0.095,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.5,79.5,55.16304347826087,12.0
z<=12,mE,0.25,0.24362636200148102,0.105,700.0,0.13614725483973342,1.4617581720088864,2.257120556370852,0.5,68.5,49.12681159420289,12.0
z<=12,mE,0.25,0.249087686372641,0.115,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,1.0,69.0,33.0685618729097,12.0
z<=12,mE,0.25,0.249087686372641,0.125,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,1.0,61.5,42.60869565217391,12.0
z<=12,mE,0.5,0.4890510948905109,0.045,700.0,0.09197080291970804,2.9343065693430654,1.5247401800379323,0.0,,,12.0
z<=12,mE,0.5,0.49457825044312376,0.055,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.0,,,12.0
z<=12,mE,0.5,0.49457825044312376,0.065,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.25,68.0,42.10144927536231,12.0
z<=12,mE,0.5,0.4963768115942029,0.075,700.0,0.09065217391304348,2.978260869565217,1.502879257166788,0.75,68.0,23.586956521739125,12.0
